naselje_ime_lat,opstina_ime_lat,latitude,longitude,ulica_ime_lat,kucni_broj_lat
Vojvoda Stepa,Nova Crnja,45.68771500515275,20.65091920284722,Zmaj Jovina,26
Vojvoda Stepa,Nova Crnja,45.67541388417107,20.658026552747017,Nikole Tesle,67
Vojvoda Stepa,Nova Crnja,45.686889999253985,20.65707500905824,Karađorđeva,27
Vojvoda Stepa,Nova Crnja,45.68793935862088,20.657358709069882,Njegoševa,38
Vojvoda Stepa,Nova Crnja,45.68641917005795,20.65930291818185,Nikole Tesle,30
Vojvoda Stepa,Nova Crnja,45.69512523340014,20.661514607068597,Đure Jakšića,47
Vojvoda Stepa,Nova Crnja,45.69459289163094,20.662964955309732,Đure Jakšića,58
Srpska Crnja,Nova Crnja,45.721813491838134,20.67631594415529,Železnička,52
Srpska Crnja,Nova Crnja,45.72298713124799,20.677694454070448,Železnička,40
Srpska Crnja,Nova Crnja,45.71701359841451,20.686697899441,Kralja Aleksandra,155
Srpska Crnja,Nova Crnja,45.7168631342901,20.68898164498807,Đure Jakšića,152
Srpska Crnja,Nova Crnja,45.71477526667864,20.689429181878086,Nikole Pašića,14
Srpska Crnja,Nova Crnja,45.71686752287588,20.692030462110793,Kneza Miloša,66
Srpska Crnja,Nova Crnja,45.72639245447762,20.681760431920775,Železnička,14
Srpska Crnja,Nova Crnja,45.72819758808422,20.685639242402953,Patrijarha Arsenija Čarnojevića,5
Srpska Crnja,Nova Crnja,45.724249538007555,20.688748668268346,Knez Mihajlova,5
Srpska Crnja,Nova Crnja,45.725937097804405,20.690007839187018,Patrijarha Arsenija Čarnojevića,19
Srpska Crnja,Nova Crnja,45.721201035763066,20.691093781357218,Kralja Aleksandra,90
Srpska Crnja,Nova Crnja,45.72339961297809,20.690378863841666,Knez Mihajlova,13
Srpska Crnja,Nova Crnja,45.7290799777562,20.69967502545472,Đure Jakšića,21
Srpska Crnja,Nova Crnja,45.72951538940299,20.70000016165708,Đure Jakšića,15A
Srpska Crnja,Nova Crnja,45.733284463802825,20.70285928707984,Svetozara Miletića,23
Srpska Crnja,Nova Crnja,45.72550368873515,20.704608453931545,Dositejeva,13
Radojevo,Nova Crnja,45.74757074135475,20.793028286833593,Vojvode Mišića,46
Radojevo,Nova Crnja,45.74951626017188,20.793082422389737,Vojvode Mišića,30
Toba,Nova Crnja,45.69108571805149,20.550982548972264,Petefi Šandora,24
Vojvoda Stepa,Nova Crnja,45.68868208256344,20.648784128452302,Njegoševa,2
Aleksandrovo,Nova Crnja,45.64141183500447,20.585760729423743,Karađorđeva,34
Aleksandrovo,Nova Crnja,45.64379019752313,20.586768896213833,Karađorđeva,22
Aleksandrovo,Nova Crnja,45.627926193877705,20.591106924167164,Žarka Zrenjanina,77
